date,electric_production
01-09-1958,18.7034
01-10-1958,18.1351
01-11-1958,18.0576
01-12-1958,19.0134
01-01-1959,20.0209
01-02-1959,19.6851
01-03-1959,19.5817
01-04-1959,19.1167
01-05-1959,18.9876
01-06-1959,19.5817
01-07-1959,20.0984
01-08-1959,20.5117
01-09-1959,20.7184
01-10-1959,19.7884
01-11-1959,19.7367
01-12-1959,20.8734
01-01-1960,21.7517
01-02-1960,21.4417
01-03-1960,21.5451
01-04-1960,20.8217
01-05-1960,20.2017
01-06-1960,20.7184
01-07-1960,21.2351
01-08-1960,22.0617
01-09-1960,22.0876
01-10-1960,21.0542
01-11-1960,20.8217
01-12-1960,21.5967
01-01-1961,22.6301
01-02-1961,22.1651
01-03-1961,21.8551
01-04-1961,21.4934
01-05-1961,21.4934
01-06-1961,21.9584
01-07-1961,22.4751
01-08-1961,23.5342
01-09-1961,23.6634
01-10-1961,22.7334
01-11-1961,22.3976
01-12-1961,23.3276
01-01-1962,24.7226
01-02-1962,24.0767
01-03-1962,23.9218
01-04-1962,23.0434
01-05-1962,22.9401
01-06-1962,23.7151
01-07-1962,24.4384
01-08-1962,25.1101
01-09-1962,25.1101
01-10-1962,24.0767
01-11-1962,23.9218
01-12-1962,24.8259
01-01-1963,26.2726
01-02-1963,25.9626
01-03-1963,25.4718
01-04-1963,24.5159
01-05-1963,24.5159
01-06-1963,25.3168
01-07-1963,26.4534
01-08-1963,27.3059
01-09-1963,26.9184
01-10-1963,25.5493
01-11-1963,25.2393
01-12-1963,26.4793
01-01-1964,28.2101
01-02-1964,27.3576
01-03-1964,27.2801
01-04-1964,26.8409
01-05-1964,26.6343
01-06-1964,27.5126
01-07-1964,29.2693
01-08-1964,30.0701
01-09-1964,29.4243
01-10-1964,27.9001
01-11-1964,27.2801
01-12-1964,28.8043
01-01-1965,29.9409
01-02-1965,29.2693
01-03-1965,29.3209
01-04-1965,28.6493
01-05-1965,28.1584
01-06-1965,29.1659
01-07-1965,30.4834
01-08-1965,31.5168
01-09-1965,31.3618
01-10-1965,29.8376
01-11-1965,29.0368
01-12-1965,30.5093
01-01-1966,31.7493
01-02-1966,31.6976
01-03-1966,31.2584
01-04-1966,30.2768
01-05-1966,30.0443
01-06-1966,31.2068
01-07-1966,33.8676
01-08-1966,34.8751
01-09-1966,33.8418
01-10-1966,31.7234
01-11-1966,31.3101
01-12-1966,32.7309
01-01-1967,34.5227
01-02-1967,33.9469
01-03-1967,32.894
01-04-1967,32.6367
01-05-1967,31.5629
01-06-1967,32.9433
01-07-1967,34.0303
01-08-1967,34.4184
01-09-1967,33.3846
01-10-1967,33.3188
01-11-1967,33.8395
01-12-1967,35.8726
01-01-1968,37.2112
01-02-1968,36.2878
01-03-1968,35.9942
01-04-1968,34.3456
01-05-1968,33.9643
01-06-1968,36.1243
01-07-1968,36.7772
01-08-1968,38.1009
01-09-1968,37.2582
01-10-1968,35.4821
01-11-1968,36.1209
01-12-1968,38.7412
01-01-1969,40.1646
01-02-1969,39.742
01-03-1969,39.0089
01-04-1969,37.1541
01-05-1969,36.3473
01-06-1969,38.9665
01-07-1969,40.8648
01-08-1969,42.2285
01-09-1969,40.3886
01-10-1969,38.7361
01-11-1969,39.7793
01-12-1969,41.202
01-01-1970,43.0869
01-02-1970,42.5577
01-03-1970,41.6215
01-04-1970,40.1982
01-05-1970,39.9321
01-06-1970,41.1847
01-07-1970,43.223
01-08-1970,44.8138
01-09-1970,43.6007
01-10-1970,40.5467
01-11-1970,40.9385
01-12-1970,42.1117
01-01-1971,44.9517
01-02-1971,44.3696
01-03-1971,42.7548
01-04-1971,41.4234
01-05-1971,40.8295
01-06-1971,43.5488
01-07-1971,45.1876
01-08-1971,46.1091
01-09-1971,45.505
01-10-1971,43.9496
01-11-1971,44.003
01-12-1971,45.6054
01-01-1972,48.8392
01-02-1972,50.0191
01-03-1972,47.8421
01-04-1972,44.5127
01-05-1972,42.1061
01-06-1972,43.8217
01-07-1972,45.3964
01-08-1972,47.9891
01-09-1972,46.8293
01-10-1972,44.6882
01-11-1972,47.1979
01-12-1972,52.176
01-01-1973,55.9342
01-02-1973,53.9974
01-03-1973,50.5102
01-04-1973,46.8192
01-05-1973,44.9288
01-06-1973,47.4589
01-07-1973,49.3168
01-08-1973,51.091
01-09-1973,50.0826
01-10-1973,47.0794
01-11-1973,47.8829
01-12-1973,49.7968
01-01-1974,53.8211
01-02-1974,51.6562
01-03-1974,49.7984
01-04-1974,46.8319
01-05-1974,45.4161
01-06-1974,47.1087
01-07-1974,50.7056
01-08-1974,51.7371
01-09-1974,48.6743
01-10-1974,47.1173
01-11-1974,47.7516
01-12-1974,52.9378
01-01-1975,55.6989
01-02-1975,54.4115
01-03-1975,52.1395
01-04-1975,49.3369
01-05-1975,46.1066
01-06-1975,47.3769
01-07-1975,50.5251
01-08-1975,52.2585
01-09-1975,49.432
01-10-1975,46.7476
01-11-1975,47.7981
01-12-1975,54.4112
01-01-1976,60.612
01-02-1976,56.9337
01-03-1976,52.9187
01-04-1976,48.7185
01-05-1976,46.6811
01-06-1976,49.2486
01-07-1976,52.022
01-08-1976,53.3791
01-09-1976,51.1014
01-10-1976,49.1373
01-11-1976,53.2579
01-12-1976,60.8207
01-01-1977,66.1065
01-02-1977,61.3553
01-03-1977,54.9875
01-04-1977,50.5114
01-05-1977,49.3163
01-06-1977,52.3147
01-07-1977,55.7601
01-08-1977,55.929
01-09-1977,53.2255
01-10-1977,50.7423
01-11-1977,51.8983
01-12-1977,59.5842
01-01-1978,65.4681
01-02-1978,64.4632
01-03-1978,58.7322
01-04-1978,51.4137
01-05-1978,49.9912
01-06-1978,53.1982
01-07-1978,55.5156
01-08-1978,57.5132
01-09-1978,55.0594
01-10-1978,52.1993
01-11-1978,54.054
01-12-1978,60.7576
01-01-1979,68.7075
01-02-1979,68.1212
01-03-1979,61.374
01-04-1979,55.2722
01-05-1979,51.4048
01-06-1979,53.2473
01-07-1979,55.4418
01-08-1979,57.6476
01-09-1979,54.2322
